Service,Service
Data Center Services,Install Network/Storage Cables,January,25
Data Center Services,Install Network/Storage Cables,February,35
Data Center Services,Install Network/Storage Cables,March,56
Data Center Services,Install Network/Storage Cables,April,38
Data Center Services,Install Network/Storage Cables,May,60
Data Center Services,Install Network/Storage Cables,June,47
Data Center Services,Install Network/Storage Cables,July,37
Data Center Services,Install Network/Storage Cables,August,56
Data Center Services,Milford Equipment tile Location,January,6
Data Center Services,Milford Equipment tile Location,February,25
Data Center Services,Milford Equipment tile Location,March,9
Data Center Services,Milford Equipment tile Location,April,12
Data Center Services,Milford Equipment tile Location,May,9
Data Center Services,Milford Equipment tile Location,June,22
Data Center Services,Milford Equipment tile Location,July,13
Data Center Services,Milford Equipment tile Location,August,13
Data Center Services,Rack and Stack Equipment,January,16
Data Center Services,Rack and Stack Equipment,February,24
Data Center Services,Rack and Stack Equipment,March,38
Data Center Services,Rack and Stack Equipment,April,22
Data Center Services,Rack and Stack Equipment,May,21
Data Center Services,Rack and Stack Equipment,June,31
Data Center Services,Rack and Stack Equipment,July,27
Data Center Services,Rack and Stack Equipment,August,29
Data Center Services,Rack and Stack Equipment Europe - Ireland Request,March,2
Data Center Services,Rack and Stack Equipment Singapore Request,February,1
Data Center Services,Rack and Stack Equipment Singapore Request,March,1
Data Center Services,Relabel Cables for Redesign,January,1
Data Center Services,Relabel Cables for Redesign,February,4
Data Center Services,Relabel Cables for Redesign,March,1
Data Center Services,Relabel Cables for Redesign,April,1
Data Center Services,Relabel Cables for Redesign,May,2
Data Center Services,Relabel Cables for Redesign,June,2
Data Center Services,Relabel Cables for Redesign,August,5
Data Center Services,Troubleshooting Active Projects,January,20
Data Center Services,Troubleshooting Active Projects,February,25
Data Center Services,Troubleshooting Active Projects,March,33
Data Center Services,Troubleshooting Active Projects,April,20
Data Center Services,Troubleshooting Active Projects,May,15
Data Center Services,Troubleshooting Active Projects,June,21
Data Center Services,Troubleshooting Active Projects,July,19
Data Center Services,Troubleshooting Active Projects,August,30
Data Center Services,Troubleshooting Active Projects - Singapore,February,1
Data Center Services,Troubleshooting Active Projects - Singapore,May,1
Data Center Services,Warren Equipment tile Location,January,7
Data Center Services,Warren Equipment tile Location,February,30
Data Center Services,Warren Equipment tile Location,March,13
Data Center Services,Warren Equipment tile Location,April,13
Data Center Services,Warren Equipment tile Location,May,20
Data Center Services,Warren Equipment tile Location,June,34
Data Center Services,Warren Equipment tile Location,July,25
Data Center Services,Warren Equipment tile Location,August,16
NAS Storage,Delete,February,1
NAS Storage,Delete,March,2
NAS Storage,Delete,April,1
NAS Storage,Delete,May,1
NAS Storage,Delete,July,5
NAS Storage,Delete,August,4
NAS Storage,Modify,January,24
NAS Storage,Modify,February,22
NAS Storage,Modify,March,32
NAS Storage,Modify,April,14
NAS Storage,Modify,May,48
NAS Storage,Modify,June,22
NAS Storage,Modify,July,32
NAS Storage,Modify,August,53
NAS Storage,New,January,30
NAS Storage,New,February,36
NAS Storage,New,March,27
NAS Storage,New,April,29
NAS Storage,New,May,35
NAS Storage,New,June,28
NAS Storage,New,July,32
NAS Storage,New,August,29
Special Network Attached Storage (NAS)_V2,Access Control,January,13
